chrom	chromStart	chromEnd	beta
chr8	113263162	113265089	0.07
chr5	130978802	130980776	0.0
chr1	147675683	147677212	0.05
chr19	14571424	14571492	0.03
chr17	56247458	56248601	0.0
chr5	13144213	13146207	0.0
chr2	226064675	226066577	0.04
chr4	176760658	176762494	0.2
chr16	82002857	82004817	0.0
chrX	96094790	96096770	0.09
chr8	114973335	114975291	0.02
chr2	33074607	33075785	0.39
chr5	13580238	13582157	0.12
chr12	101904502	101904543	0.29
chr19	14383302	14384210	0.92
chr4	176860527	176862432	0.29
chr4	144629732	144631709	0.12
chr6	151898814	151899971	0.68
chr16	72073141	72075006	0.63
chr6	13776383	13778303	0.74
chr8	18044293	18045799	0.62
chr6	129800922	129802885	0.07
chr6	123477802	123477857	0.86
chr2	27461274	27463147	0.69
chr5	159412857	159414718	0.59
chrX	108666533	108668513	0.0
chr2	10409158	10409440	0.15
chr4	38877493	38879441	0.81
chr20	2051382	2053222	0.07
chr1	158680138	158682138	0.07
chr3	15791107	15792450	0.87
chr15	21257162	21259115	0.0
chr13	49791103	49791439	0.0
chr12	18813577	18815395	0.7
chrX	12230815	12232746	0.0
chr13	28114737	28114800	0.41
chr15	33207167	33207624	0.88
chr18	12128781	12128798	0.86
chr1	182277969	182278045	0.86
chr10	91930027	91931652	0.77
chr6	159345580	159347309	0.0
chr8	103970781	103972657	0.88
chr10	30885856	30887492	0.81
chrX	44840373	44842356	0.84
chr1	143568272	143570175	0.11
chr18	56248611	56250522	1.0
chr10	43524632	43525765	0.14
chr8	25014560	25015783	0.92
chr8	144066895	144066917	0.83
chr11	120459203	120461061	0.69
chr2	9912059	9913961	0.73
chr5	32344720	32346470	0.78
chr12	14446208	14447502	0.69
chr22	24075307	24077211	0.62
chr15	22512699	22514620	0.77
chr3	134487173	134487462	0.0
chr7	99314759	99316672	0.78
chr2	36072991	36074698	0.09
chr1	9374335	9376327	0.8
chr2	195484525	195486490	0.77
chr5	110004566	110006522	0.81
chr10	68488995	68490964	0.7
chr2	9709414	9710966	0.83
chr21	32673420	32675263	0.73
chr2	151336856	151338558	0.73
chr1	44783717	44784061	0.75
chr15	92136194	92137815	0.72
chr15	41827291	41827406	0.67
chr13	44462863	44464368	0.74
chr8	27693341	27694984	0.93
chr15	59751797	59753720	0.1
chrX	12729381	12731372	0.17
chr6	167034108	167035109	0.65
chr6	135875728	135876318	0.86
chr4	71598755	71600552	0.37
chr4	57167649	57168088	0.84
chr1	77699004	77700989	0.76
chr5	140118799	140120597	0.53
chr5	138897817	138899592	0.72
chr13	74095321	74097165	0.44
chr1	232450476	232452434	0.88
chr12	31252048	31252097	1.0
chr6	104700198	104701959	0.71
chr4	188031718	188032731	0.71
chr9	3260220	3262151	0.76
chr10	34550732	34552646	0.64
chr5	65900928	65901410	0.88
chr2	152675440	152677192	0.78
chr5	146188015	146188344	0.84
chr1	205256231	205256653	0.0
chr1	45834112	45835997	0.86
chr2	151034683	151036433	0.87
chr19	22969470	22971303	0.11
chr14	57321246	57323033	0.07
chr2	33353435	33353671	0.62
chr2	99847724	99849677	0.64
chr3	81613377	81614326	0.79
chr9	2149444	2151438	0.71
chr13	27471033	27471132	0.73
chr8	15406029	15406489	0.73
chr12	77951619	77953585	0.28
chr20	58611321	58611476	0.21
chr12	102455527	102457400	0.12
chr6	72522877	72523998	0.51
chr5	39593899	39595884	0.07
chr4	118904263	118905826	0.01
chr2	156948808	156950726	0.04
chr8	106617193	106618994	0.07
chr16	27433056	27433769	0.47
chr12	47198613	47200581	0.1
chr2	55812123	55812709	0.0
chrX	3012116	3013123	0.18
chr12	106006248	106008014	0.18
chr14	45543853	45545848	0.11
chr3	187393403	187395261	0.07
chr8	117634970	117636635	0.16
chr13	30192342	30193014	0.18
chr3	155006653	155008479	0.1
chr11	27746952	27748865	0.1
chr1	21094009	21095852	0.85
chr3	50247730	50248458	0.97
chr12	28307529	28309530	0.77
chr7	157330599	157330943	0.85
chr5	59687246	59689125	0.87
chr3	64274326	64276324	0.76
chr6	52689385	52691355	0.72
chr10	575855	577581	0.73
chr7	85164275	85166187	0.73
chr20	37804753	37806597	0.71
chr1	45861295	45863194	0.91
chr8	58790248	58792224	0.66
chr17	43447419	43448453	0.72
chr1	248935562	248936839	0.72
chr4	75909117	75911093	0.64
chr20	63702850	63704645	0.75
chr2	206191315	206191986	0.61
chr20	26198041	26199927	0.02
chr5	134226815	134226914	0.01
chr17	13757784	13759569	0.36
chr17	48355624	48357617	0.02
chr5	83714625	83716105	0.84
chr12	68972447	68974362	0.0
chr4	149767534	149769461	0.19
chr4	175672193	175673686	0.04
chr7	100965886	100967224	0.05
chr4	73868510	73868968	0.08
chr11	86049858	86051840	0.77
chr14	31539999	31541190	0.71
chr4	187050129	187052005	0.69
chr17	76620103	76620847	0.75
chr11	128287681	128289387	0.67
chr19	56136892	56138752	0.83
chr19	44065353	44067274	0.76
chr4	151916645	151918625	0.68
chr11	87185218	87186685	0.93
chr9	92023134	92025095	0.83
chr7	106927986	106929912	0.86
chr3	142889829	142890057	0.76
chr13	109369404	109371109	0.68
chr2	240030065	240030100	0.65
chr4	140188266	140190233	0.68
chr6	14250770	14252289	0.29
chr16	64113492	64115437	0.55
chr5	6789401	6791203	0.66
chr14	50347812	50349599	0.67
chr7	46923789	46925347	0.94
chr1	230835342	230837299	0.72
chr2	220079791	220081762	0.14
chrX	11059804	11061477	0.18
chr2	225867390	225869250	0.07
chr3	131234061	131234654	0.12
chr13	55229416	55231158	0.43
chr1	198282	198928	0.51
chrX	120758440	120760321	0.0
chr7	143996818	143998180	0.5
chr3	183179708	183180107	0.57
chr6	3439391	3439793	0.22
chr14	24171613	24171665	0.05
chr21	33184221	33184445	0.05
chr17	69569625	69569689	0.5
chr10	60643320	60643719	0.37
chr3	87094153	87096011	0.15
chr4	122504914	122506601	0.09
chr2	228071481	228073422	0.07
chr20	23070458	23070515	0.07
chr2	128375192	128375324	0.71
chr18	2132166	2134047	0.32
chr5	160521936	160523707	0.15
chr12	77965057	77966783	0.09
chrX	11155546	11156579	0.27
chr1	46339668	46339913	0.17
chr5	128224093	128225065	0.08
chr5	43781955	43783884	0.0
chr15	61186841	61187826	0.03
chr6	147541106	147542051	0.31
chr3	190545859	190547699	0.13
chr2	104678109	104680080	0.9
chr8	105903886	105905842	0.1
chr6	129364501	129366420	0.27
chr8	126543447	126545282	0.2
chr6	129817533	129819425	0.11
chr12	58418253	58419423	0.12
chr6	166197632	166199299	0.64
chr4	109901313	109902130	0.08
chr2	55925684	55927516	0.05
chr3	127780471	127780995	0.02
chr17	13831811	13833551	0.4
chr3	87271642	87273145	0.38
chr2	157278158	157280004	0.1
chr7	103663874	103665872	0.73
chr17	13653311	13655291	0.07
chr9	107675538	107677527	0.11
chr11	102009150	102010636	0.04
chr4	80494668	80496658	0.05
chr8	118603670	118604584	0.07
chr16	7924763	7925599	0.27
chr2	226032613	226034575	0.38
chr16	83216962	83218347	0.38
chr3	67797709	67799585	0.13
chrX	45839467	45841354	0.0
chrX	3206040	3207576	0.0
chr12	77166234	77168205	0.0
chr8	114978341	114980120	0.0
chr7	103686037	103687887	0.82
chr6	44762082	44763834	0.12
chr4	186480293	186482248	0.1
chr18	21120548	21120826	0.66
chr8	95544806	95546084	0.23
chr16	7842942	7844925	0.0
chr13	37792698	37794625	0.03
chr6	108661190	108662109	0.13
chr8	104751352	104753150	0.32
chr4	103616672	103616705	0.58
chr7	136972071	136974041	0.61
chr12	47359011	47360554	0.2
chr6	151919668	151921590	0.11
chr22	35051279	35053153	0.04
chr14	45548780	45550732	0.08
chr10	90495616	90497472	0.02
chr2	220093042	220095041	0.04
chr12	58173588	58175407	0.15
chr1	186040415	186042281	0.08
chr2	84790734	84792683	0.08
chr4	22205354	22207307	0.0
chr6	130484862	130486754	0.0
chr8	118572707	118574667	0.12
chr3	188800402	188802158	0.2
chr1	81713447	81714086	0.3
chr3	46177474	46179419	0.29
chr6	149016678	149018577	0.19
chr20	17814119	17814607	0.17
chr12	58974596	58976343	0.19
chr5	33044401	33046219	0.04
chr8	120263014	120264446	0.09
chr8	104650594	104652096	0.26
chr19	10759929	10760548	0.24
chr12	58726573	58728508	0.17
chr2	199129649	199131510	0.12
chr2	33314239	33315629	0.07
chr21	35547542	35549129	0.04
chr6	131684239	131685084	0.12
chr6	341260	341328	0.64
chr6	5072614	5073906	0.6
chr18	21174312	21175146	0.12
chr17	78923786	78924466	0.74
chr8	104918489	104920023	0.04
chr6	143236272	143238237	0.11
chr11	110381679	110383611	0.42
chr15	74826514	74826560	0.88
chr9	75078347	75078782	0.1
chr5	13132839	13134779	0.04
chr2	230311135	230313117	0.06
chr1	158048456	158050234	0.11
chr2	221045638	221047588	0.2
chr12	58094511	58096230	0.15
chrX	46337614	46339527	0.17
chr16	10818545	10818808	0.1
chr8	118635363	118637071	0.1
chr6	129972539	129974515	0.03
chr13	55168604	55170598	0.12
chr2	131030462	131030981	0.02
chr7	104615190	104616043	0.77
chr8	120297775	120299562	0.15
chr2	9263241	9263783	0.12
chr8	15500172	15501970	0.18
chr2	56496145	56497144	0.39
chr5	39853355	39855138	0.05
chr1	158065267	158067189	0.17
chr2	19375239	19376904	0.04
chr6	130355151	130356980	0.12
chr5	39994950	39995522	0.3
chr12	102499332	102501061	0.0
chr9	22889409	22891324	0.0
chr12	46307610	46308650	0.04
chr14	50958668	50959203	0.44
chr8	63320932	63322761	0.02
chr3	169683346	169685055	0.09
chr1	182392393	182392428	0.26
chr15	22694920	22696770	0.61
chr6	105708423	105709977	0.32
chr12	58372553	58374178	0.01
chr14	45640869	45642663	0.01
chr13	54344006	54345787	0.45
chr11	47071441	47072270	0.26
chr4	25289590	25290534	0.0
chr6	17281867	17282032	0.45
chr13	37768160	37769999	0.0
chr4	156400079	156401799	0.13
chr16	83787483	83787561	0.24
chr8	106324463	106326326	0.09
chr3	187274707	187276617	0.1
chr17	68996000	68997733	0.09
chr8	6337268	6338335	0.09
chr5	159795592	159797195	0.14
chr6	129536972	129538852	0.19
chr7	103621836	103623406	0.55
chr4	2292303	2292676	0.14
chr16	88736579	88736633	0.08
chr12	62886420	62888337	0.12
chr4	21959993	21961899	0.13
chr11	28745402	28747238	0.07
chr6	130766887	130768817	0.1
chr21	41821804	41822437	0.09
chr12	46285906	46286089	0.73
chr7	30587137	30588844	0.78
chr12	31735779	31737750	0.56
chr8	94188966	94190549	0.62
chr17	42532531	42532610	0.05
chr6	75496332	75496618	0.06
chr4	175022913	175024275	0.11
chr17	81292271	81293158	0.63
chr17	56143079	56144855	0.09
chr3	61936562	61938295	0.34
chrX	79611884	79613408	0.75
chr10	90264458	90266287	0.05
chrX	30051724	30053714	0.09
chr5	33101668	33102946	0.45
chr12	33502180	33503858	0.06
chr6	81145969	81147666	0.73
chr16	13980159	13981331	0.67
chr15	45472796	45474315	0.49
chr6	73029514	73029900	0.69
chr20	40987199	40989018	0.59
chr13	107692960	107694347	0.73
chr12	68753991	68755974	0.9
chr8	125667734	125669437	0.72
chr8	121085422	121087345	0.93
chr11	35261403	35261782	0.04
chr2	157288708	157290619	0.0
chr16	82988433	82990157	0.17
chr2	104711138	104712791	0.81
chr2	220164980	220166838	0.09
chr2	226588134	226590011	0.03
chr8	23801909	23803486	0.03
chr8	86175090	86175468	0.0
chr4	187809314	187811300	0.05
chr15	96394339	96396230	0.19
chr10	132129570	132129843	0.03
chr6	58822801	58824245	0.15
chr5	33321952	33323323	0.09
chr9	69579952	69581089	0.11
chr12	58078240	58080207	0.13
chr2	227819842	227821392	0.14
chr21	29235768	29236224	0.03
chr10	12166231	12166694	0.13
chr5	34426559	34428502	0.0
chr6	130816736	130818406	0.0
chr6	141452893	141454708	0.11
chr4	109964442	109965011	0.12
chr10	71276922	71277422	0.13
chr6	142135957	142137953	0.2
chr9	83702785	83703106	0.27
chr6	17403164	17405080	0.27
chr6	4940875	4941787	0.94
chr9	107427612	107429120	0.5
chr5	54912175	54913794	0.06
chr21	38329767	38331726	0.08
chr1	185994748	185996726	0.19
chr4	144585812	144587807	0.35
chr5	53745545	53747455	0.26
chr13	37203907	37205752	0.08
chr12	80413829	80415756	0.06
chr2	228129142	228130790	0.09
chr12	18277821	18279399	0.11
chr4	165642973	165644229	0.48
chrX	44617720	44619552	0.45
chr13	54748006	54749689	0.53
chr5	149423280	149424099	0.26
chr10	90616738	90617355	0.1
chrX	46309243	46311194	0.11
chr4	156260102	156261756	0.08
chr16	83443114	83444793	0.11
chrX	9913758	9915058	0.59
chr8	125480530	125481849	0.47
chr14	90237351	90237931	0.67
chr3	190202612	190203081	0.08
chr6	129539293	129541073	0.2
chr3	69162006	69163248	0.56
chr4	38714101	38715271	0.68
chr21	34161497	34163459	0.58
chr6	32041812	32041887	0.93
chr7	83336604	83338480	0.79
chr15	67742397	67744033	0.58
chr9	136649213	136649792	0.84
chr6	54110593	54111948	0.06
chr16	10509592	10510094	0.03
chr11	129643897	129645753	0.1
chr12	76202599	76203425	0.5
chr1	7796381	7797948	0.69
chr6	7210597	7212444	0.48
chr19	17914493	17915233	0.11
chr22	35938857	35940699	0.74
chr2	165798653	165800337	0.65
chr7	44873524	44874299	0.67
chr6	41126433	41128387	0.69
chr12	122162135	122162349	0.71
chr2	224005894	224007667	0.76
chr22	34778711	34780630	0.06
chr3	12424714	12425216	0.03
chr2	220216231	220218062	0.13
chr2	147666129	147667904	0.23
chr5	40523585	40525579	0.06
chr12	54434909	54434999	0.1
chr17	13071306	13073307	0.18
chr14	54063726	54065519	0.15
chr11	102556460	102558239	0.23
chr16	82721951	82723915	0.06
chr11	56925204	56926674	0.6
chr10	94736741	94738078	0.01
chr16	82869107	82870577	0.29
chr4	149656412	149658180	0.09
chr17	56280126	56282008	0.1
chr12	58732924	58734815	0.2
chr12	102336844	102337977	0.39
chr1	214840808	214842574	0.07
chr2	156321713	156321985	0.16
chr6	131751253	131753131	0.14
chr1	44491404	44493083	0.02
chr9	83043508	83043927	0.1
chr12	69049118	69049878	0.45
chr16	1874038	1874995	0.78
chr1	11981015	11981049	0.06
chr5	128686725	128688566	0.03
chr3	61475767	61477243	0.37
chr1	172491317	172493094	0.87
chr13	37155606	37155948	0.61
chr5	13175799	13177554	0.19
chr12	77465485	77467458	0.07
chr19	27263662	27265040	0.08
chr6	148976501	148977885	0.17
chr6	118319129	118320720	0.56
chrX	130181693	130182101	0.61
chr12	77834922	77836856	0.03
chr6	130245875	130247767	0.13
chr2	226011852	226013825	0.13
chr12	77654293	77655625	0.2
chr6	129480869	129482857	0.08
chr10	94782436	94784122	0.12
chr6	129651671	129653452	0.03
chr18	2337434	2339202	0.04
chr6	105705823	105707673	0.08
chr5	32811226	32812976	0.12
chr7	103536214	103538180	0.79
chr12	109717232	109718187	0.18
chrX	70040172	70041961	0.08
chr5	53459264	53460761	0.1
chr1	185911908	185913848	0.11
chr6	139256885	139258882	0.15
chr11	102593904	102595844	0.14
chr17	15540359	15541087	0.11
chr22	17079527	17079700	0.11
chr2	33209092	33209302	0.17
chr5	40418763	40420742	0.03
chr8	142250307	142250691	0.85
chr5	40159539	40161333	0.32
chr21	29106424	29108267	0.36
chr13	45455989	45456492	0.2
chr16	83763969	83765164	0.02
chr12	105821276	105822925	0.19
chr17	69050705	69051399	0.27
chr15	70221978	70223863	0.86
chr13	58353488	58355295	0.84
chr3	70691749	70693659	0.62
chr8	118722362	118723047	0.2
chr20	36825471	36825854	0.07
chr2	19382934	19384135	0.08
chr4	80786450	80788361	0.09
chr7	17537212	17538863	0.12
chr12	77253066	77255036	0.12
chr17	56295018	56296679	0.2
chr9	23433788	23435202	0.08
chr4	187697867	187699755	0.05
chr1	214890228	214892122	0.04
chr11	121538956	121539256	0.12
chr12	58367380	58368860	0.0
chr14	53455264	53455754	0.0
chr4	149803575	149805414	0.0
chr5	43368318	43369528	0.25
chr5	127728087	127729942	0.0
chr16	64152201	64152729	0.0
chrX	155392548	155393792	0.05
chr8	11736638	11737658	0.03
chr12	58676088	58678060	0.17
chr1	85843782	85845024	0.09
chrX	141907767	141909337	0.17
chr5	33666786	33668780	0.09
chr5	13230939	13232929	0.03
chr9	22322319	22323485	0.12
chr6	148201367	148202879	0.07
chr12	38153326	38153392	0.21
chr1	44470782	44472682	0.22
chr3	172741234	172743080	0.6
chr3	52515414	52515472	0.15
chr8	96179978	96180003	0.36
chr9	15265567	15267120	0.67
chr9	109759658	109761621	0.13
chr4	144833479	144835471	0.0
chr15	96175597	96176950	0.18
chr1	200408612	200409247	0.67
chr7	22009282	22009831	0.09
chr1	3617360	3618960	0.77
chr11	86385153	86386884	0.64
chr20	62479190	62479615	0.75
chr5	92878618	92880235	0.66
chr5	13780377	13782146	0.13
chr5	128742864	128743850	0.0
chr6	130776780	130778779	0.19
chr8	124265310	124267232	0.59
chr1	200029620	200029931	0.09
chrX	95989080	95990999	0.11
chr2	237691604	237691790	0.0
chr6	141168231	141168984	0.18
chr12	49330372	49331334	0.57
chr14	59042160	59042849	0.72
chr4	109733096	109734288	0.64
chr2	176545179	176546710	0.61
chr7	18448553	18450495	0.44
chr12	99562487	99564364	0.25
chrX	46411365	46412944	0.43
chr13	20962886	20962983	0.04
chr13	101978668	101980215	0.02
chr1	200706012	200706110	0.41
chr7	16955642	16955940	0.04
chr10	27332480	27334461	0.77
chrX	45817719	45819517	0.13
chr12	58326455	58328286	0.12
chr4	24753847	24755684	0.1
chr9	98480733	98482422	0.05
chr10	89928654	89930289	0.08
chr2	220684433	220686413	0.12
chr6	130568816	130570757	0.0
chr14	52663783	52664124	0.26
chr2	230324778	230326450	0.25
chr17	56299041	56300297	0.04
chr2	55940512	55942135	0.1
chr2	227828981	227830938	0.06
chr4	80537147	80538822	0.07
chr2	220570415	220572328	0.15
chr2	220963568	220965549	0.09
chr6	148314881	148316599	0.14
chr22	50190374	50191433	0.04
chr12	58521178	58523065	0.05
chr6	130596210	130598002	0.08
chr4	176690427	176691889	0.24
chr5	53337716	53339487	0.09
chr18	2075640	2077546	0.14
chr6	152495232	152497162	0.32
chr16	171127	171249	0.95
chr4	26792199	26794046	0.65
chr7	63015502	63015600	0.45
chr19	7921426	7921463	0.06
chr11	64271801	64272033	0.03
chr4	149784753	149786692	0.06
chr8	106668829	106670396	0.06
chr14	53756401	53758355	0.07
chr14	45561421	45563304	0.07
chr17	49232281	49232558	0.18
chr15	41622149	41622924	0.71
chr8	8349311	8350003	0.67
chr8	70242466	70244056	0.72
chrX	11032699	11034292	0.32
chr2	31470159	31470599	0.32
chr4	122067011	122068491	0.36
chr10	90997617	90998883	0.16
chr16	83790524	83790549	0.05
chr6	130925249	130927245	0.18
chr16	83761469	83761928	0.16
chr2	220653946	220655839	0.03
chr16	83631267	83633073	0.05
chr6	129508958	129510908	0.18
chr3	187182043	187183767	0.03
chr10	94683438	94683464	0.21
chr4	22767426	22769341	0.07
chr17	56190047	56191947	0.12
chr17	81991658	81992365	0.06
chr19	48569138	48570243	0.84
chr6	129430439	129432377	0.42
chr7	143010255	143011847	0.05
chr22	17060396	17062319	0.18
chr2	227769011	227770806	0.41
chr6	52570936	52571591	0.06
chr9	72650745	72652622	0.04
chr4	144687298	144689266	0.13
chr5	32729250	32731122	0.03
chr4	156582179	156583829	0.13
chr2	198885365	198886983	0.17
chr21	18783750	18785668	0.06
chr11	113053455	113055448	0.92
chr15	26081931	26083316	0.0
chr11	110306236	110308233	0.55
chr3	197528171	197528833	0.04
chr5	54461459	54462796	0.14
chr6	54367617	54369607	0.14
chr7	13260998	13262746	0.17
chr12	68950712	68952451	0.05
chr5	127571261	127572181	0.2
chr1	214739482	214741040	0.12
chr16	86755048	86756394	0.15
chr17	56692529	56694075	0.22
chr13	37970045	37971980	0.12
chr11	102120927	102122521	0.31
chr12	47572732	47574117	0.15
chr21	29277164	29277848	0.1
chr22	17064702	17064877	0.59
chrX	3232882	3234831	0.03
chr1	153403845	153404314	0.55
chr22	35097976	35099952	0.2
chr12	47351996	47353799	0.19
chr5	113266988	113267820	0.06
chr13	55091599	55093582	0.14
chr2	19530748	19532706	0.17
chr4	80638297	80640257	0.06
chr2	220135366	220137281	0.17
chr2	226207774	226209657	0.0
chr20	15846477	15847285	0.93
chr6	54513322	54515290	0.07
chr8	106490141	106491832	0.1
chr12	77204098	77205884	0.11
chr12	105549617	105551344	0.05
chr16	83789867	83790176	0.05
chr21	29236653	29236811	0.01
chr6	130789393	130790315	0.37
chr5	13860877	13862812	0.15
chr7	103549554	103551228	0.75
chrX	30228984	30230864	0.04
chr10	1119061	1119227	0.09
chr12	80030917	80032659	0.04
chrX	96267471	96269217	0.05
chr11	102795201	102797148	0.29
chr5	13208160	13210032	0.02
chr12	18174251	18175968	0.07
chr2	33557289	33557537	0.38
chr7	144794421	144796320	0.05
chr1	112247311	112248944	0.05
chr1	196897048	196897543	0.04
chr8	118268040	118270040	0.02
chrX	30315528	30317328	0.14
chr14	58086236	58088181	0.13
chr2	55816263	55817545	0.1
chr3	194272710	194273880	0.15
chr20	37233613	37233794	0.09
chr12	58161516	58163270	0.15
chr2	104629024	104630949	0.79
chr6	31562113	31562217	0.64
chr14	99838593	99839817	0.44
chrX	29971576	29973485	0.09
chr11	47187624	47188711	0.14
chr21	35736064	35737822	0.2
chr9	137334210	137335837	0.51
chr1	85802062	85803748	0.06
chr4	94759231	94759485	0.01
chr13	57775110	57776616	0.87
chrX	45844418	45846391	0.19
chr6	148384794	148386729	0.14
chr9	108185593	108187500	0.52
chr10	93763628	93764875	0.65
chr12	53707458	53707534	0.52
chr7	13154503	13154875	0.42
chr8	5050085	5050870	0.08
chr21	41763892	41765226	0.09
chr2	94515505	94517102	0.55
chr7	87497553	87499159	0.82
chr12	18821686	18823522	0.64
chr2	227778362	227780335	0.29
chr8	106339311	106341256	0.11
chr6	142439525	142441167	0.02
chr2	232519879	232520332	0.71
chrX	154655549	154655750	0.02
chr2	219701595	219702637	0.28
chr5	54893764	54895136	0.08
chr17	49130467	49131572	0.03
chr1	233038306	233038570	0.16
chr12	10221914	10221995	0.76
chr3	46154006	46155960	0.45
chr3	187276788	187278720	0.07
chr2	20991140	20992149	0.87
chr16	83621000	83622425	0.14
chr17	63152467	63154189	0.52
chr2	86003578	86003984	0.83
chr4	128492455	128493671	0.67
chr17	41696515	41696532	0.8
chr5	159415693	159417563	0.7
chr21	32544879	32545639	0.8
chr6	129309922	129310199	0.77
chr13	97798612	97798682	0.61
chr8	104521523	104522803	0.63
chr2	171054120	171055718	0.76
chr3	17216725	17218697	0.8
chr5	72984873	72986488	0.75
chr2	28006598	28007312	0.4
chr22	19646223	19646243	0.83
chr12	124651423	124651745	0.71
chr4	100793194	100794844	0.6
chr7	22206563	22208116	0.62
chr8	144002127	144002867	0.83
chr2	208149356	208151093	0.82
chr7	85201298	85202678	0.8
chr14	60451389	60451604	0.89
chr2	156448863	156450519	1.0
chr22	30714322	30716111	0.74
chr8	73119872	73121700	0.33
chrX	65617917	65619441	0.0
chr10	90793182	90794904	0.14
chr6	27357173	27359084	0.2
chr3	188674328	188676313	0.25
chr17	13287409	13288934	0.0
chr9	40585156	40585680	0.0
chr13	27859209	27860992	0.15
chr17	22710948	22712579	0.08
chrX	109810485	109810973	0.15
chr10	26157739	26158276	0.0
chr6	13616305	13616447	0.0
chr19	53589086	53589931	0.24
chr22	35086992	35088902	0.16
chr8	97277377	97278283	0.0
chr4	149818655	149820631	0.32
chr4	72505130	72505566	0.17
chr5	130669104	130670547	0.0
chr2	100768852	100770828	0.09
chr4	156576732	156578445	0.0
chr12	47315076	47317004	0.0
chr12	47333680	47334496	0.02
chr12	57977880	57979321	0.0
chr6	73785905	73787748	0.0
chr8	118382910	118384138	0.0
chr16	82886410	82888231	0.01
chr11	27913138	27915057	0.0
chr6	54331709	54333582	0.0
chr7	131621604	131622164	0.24
chr21	35386079	35386879	0.58
chr2	220864188	220866077	0.29
chr5	74229386	74231378	0.77
chr5	82427145	82428839	0.75
chr8	97966281	97968044	0.64
chr4	22160889	22162829	0.08
chr1	158052917	158054647	0.0
chr7	12889669	12891101	0.07
chr20	50155810	50155827	0.65
chr3	24077525	24079521	0.26
chr13	111321241	111323027	0.56
chr17	72018254	72018555	0.17
chr17	36991218	36992060	0.58
chr3	23590269	23591491	0.02
chr12	58397614	58399287	0.15
chr9	22989395	22991059	0.12
chr1	215241051	215242995	0.08
chr9	117745304	117745399	0.26
chr9	41696215	41697056	0.05
chr6	141493409	141495406	0.08
chr5	159954183	159955983	0.2
chr2	207132779	207134472	0.93
chr3	187807523	187809390	0.32
chr4	149717239	149719237	0.01
chr7	41750600	41752594	0.0
chr5	33239351	33241081	0.11
chr2	220547667	220549547	0.18
chr6	139523564	139525501	0.1
chr6	73822804	73824753	0.06
chr8	106559781	106561761	0.07
chr4	176501697	176503429	0.07
chr12	68904729	68906567	0.41
chr19	1003497	1004348	0.07
chr5	114189605	114191522	0.09
chr9	127626961	127627389	0.08
chr9	136347543	136347996	0.23
chr13	37622323	37623874	0.05
chr2	32890849	32892504	0.04
chr7	133748733	133749591	0.03
chrX	50844020	50845513	0.47
chr13	54822129	54824101	0.03
chr12	56468054	56468107	0.06
chr15	95898870	95900493	0.07
chr1	43013283	43014343	0.9
chr2	33211670	33211706	0.05
chr9	108405560	108407517	0.0
chr1	156001242	156001326	0.17
chr1	86340404	86341847	0.18
chr8	61873711	61875566	0.03
chr7	78191438	78192044	0.04
chr20	23155151	23156937	0.06
chr1	158091179	158093043	0.16
chr6	54308199	54310077	0.16
chr8	118577661	118579457	0.04
chr1	185877366	185879256	0.14
chr17	14852338	14854312	0.02
chr13	54666596	54668309	0.1
chr7	144081802	144083594	0.0
chr1	214810199	214811670	0.06
chr7	143011869	143013698	0.17
chr6	148460482	148462438	0.15
chrX	29524716	29526592	0.07
chr16	82865166	82867091	0.12
chr12	18733682	18735392	0.1
chr12	102416833	102418740	0.14
chr6	10382210	10382294	0.02
chr2	228079288	228080157	0.09
chr8	106066770	106068601	0.08
chr6	53856199	53857997	0.36
chr15	96151354	96152616	0.33
chr6	47313094	47314810	0.27
chr10	90860516	90862249	0.27
chr12	77547576	77549526	0.15
chr3	46381564	46382286	0.0
chr16	83711705	83712777	0.17
chr20	26257077	26258435	0.08
chrX	45612373	45613869	0.1
chr8	63272160	63272865	0.06
chr2	219993529	219995330	0.1
chr2	220231190	220232454	0.11
chr4	187875157	187877066	0.1
chr12	58394951	58396847	0.12
chr4	156171422	156173406	0.14
chr5	38707382	38708260	0.0
chr15	95948658	95950659	0.1
chr16	87489640	87490095	0.07
chr16	83190504	83192386	0.02
chr2	156053256	156054703	0.0
chr5	13873689	13875382	0.0
chr3	190515791	190517790	0.11
chr11	102039483	102041195	0.27
chr6	138688689	138690507	0.03
chr17	13806875	13808841	0.45
chr3	113384081	113385965	0.47
chr2	220706899	220708613	0.04
chr5	159708109	159709896	0.0
chr12	68970728	68972325	0.14
chr6	141603521	141605467	0.17
chr9	35013013	35014770	0.12
chr12	79723669	79725518	0.11
chr19	38882765	38882827	0.25
chr21	34898079	34899455	0.16
chr9	107936919	107938480	0.21
chr5	159791464	159793459	0.06
chr16	83208048	83208819	0.18
chr6	141397917	141399887	0.03
chr2	228154579	228156172	0.04
chr17	56747196	56748574	0.0
chr8	114855388	114857284	0.19
chr1	215227455	215228978	0.13
chr2	228597840	228599769	0.18
chr6	10374738	10376447	0.19
chr3	197504706	197505083	0.09
chr8	11683363	11685350	0.87
chr7	17417305	17419300	0.19
chr2	220426186	220428135	0.04
chr2	220126419	220128187	0.11
chr18	2056837	2058837	0.15
chr19	6102965	6104084	0.77
chr12	58072833	58074683	0.12
chr18	2042935	2044608	0.11
chr2	157229554	157231349	0.08
chr16	89926472	89926667	0.05
chr21	29232251	29232486	0.03
chr11	397863	399080	0.49
